from,to,same_frequency,frequency_Hz,M_uH,k_effective,P_from_to_W,Q_from_to_VAR,S_from_to_VA,P_to_from_W,Q_to_from_VAR,S_to_from_VA,Pmax_matched_from_to_W,Pmax_matched_to_from_W,omega_rad_s
A1_C1,A1_C2,True,16000.0,2.486795985810865,0.0025,2.242436626533434e-14,12.453752080708403,12.453752080708403,-2.241992225294769e-14,12.453752080708403,12.453752080708403,0.15567190100885503,0.15567190100885503,100530.96491487337
A1_C1,A2_C1,False,,5.626976975981913,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_C1,B1_C1,True,16000.0,3.9788735772973833,0.004,7.665994288205582e-06,-19.926003082895093,19.926003082896568,-7.66599428815815e-06,-19.926003082895093,19.926003082896568,0.3985200665826688,0.39852005673319396,100530.96491487337
A1_C2,A2_C2,False,,5.626976975981913,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1_C2,B1_C2,True,16000.0,3.9788735772973833,0.004,7.665994218058167e-06,-19.926003082895047,19.92600308289652,-7.665994218005385e-06,-19.926003082895043,19.926003082896518,0.3985200665826688,0.39852005673319196,100530.96491487337
A2_C1,A2_C2,True,32000.0,1.2433979929054324,0.0025,4.5156347917979464e-14,10.496355641709451,10.496355641709451,-4.491077868494267e-14,10.496355641709451,10.496355641709451,0.13120444552136812,0.13120444552136815,201061.92982974675
A2_C1,A3_C1,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2_C1,B2_C1,True,32000.0,1.9894367886486917,0.004,-19.08206842214139,-4.572968267500255,19.622369226035115,19.08206842214139,-4.572968267500255,19.622369226035115,0.3358833805347023,0.45853697605388855,201061.92982974675
A2_C2,A3_C2,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2_C2,B2_C2,True,32000.0,1.9894367886486917,0.004,-19.082068422141386,-4.572968267500324,19.622369226035126,19.082068422141386,-4.5729682675003245,19.622369226035126,0.33588338053470246,0.458536976053889,201061.92982974675
A3_C1,A3_C2,True,64000.0,1.2433979929054324,0.0025,-6.142158461600455e-14,5.248525181561464,5.248525181561464,6.157884759031383e-14,5.248525181561464,5.248525181561464,0.06560656476951825,0.06560656476951834,402123.8596594935
A3_C1,A3_C3,True,64000.0,1.2433979929054324,0.0025,-0.008220725656730179,5.248723447509629,5.248729885292983,0.00822072565673021,5.248723447509629,5.248729885292983,0.06560656476951825,0.06561168246260489,402123.8596594935
A3_C1,A3_C4,True,64000.0,1.2433979929054324,0.0025,-0.008220725656750425,5.248723447509632,5.248729885292986,0.008220725656750456,5.248723447509632,5.248729885292986,0.06560656476951825,0.06561168246260496,402123.8596594935
A3_C1,A4_C1,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3_C1,B3_C1,True,64000.0,1.9894367886486917,0.004,-7.5073955616443895,5.8337305238067385,9.507544369782995,7.5073955616443895,5.833730523806738,9.507544369782995,0.16795280580996666,0.21528285760386662,402123.8596594935
A3_C2,A3_C3,True,64000.0,1.2433979929054324,0.0025,-0.008220725656668844,5.248723447509634,5.248729885292987,0.008220725656668771,5.248723447509634,5.248729885292987,0.06560656476951834,0.06561168246260489,402123.8596594935
A3_C2,A3_C4,True,64000.0,1.2433979929054324,0.0025,-0.00822072565668909,5.248723447509637,5.248729885292991,0.008220725656689017,5.248723447509637,5.248729885292991,0.06560656476951834,0.06561168246260496,402123.8596594935
A3_C2,A4_C2,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3_C2,B3_C2,True,64000.0,1.9894367886486917,0.004,-7.507395561644306,5.83373052380686,9.507544369783004,7.507395561644306,5.83373052380686,9.507544369783004,0.16795280580996694,0.21528285760386662,402123.8596594935
A3_C3,A3_C4,True,64000.0,1.2433979929054324,0.0025,-2.0318344936841243e-14,5.248934597008394,5.248934597008394,2.0391673209883825e-14,5.248934597008394,5.248934597008394,0.06561168246260489,0.06561168246260496,402123.8596594935
A3_C3,A4_C3,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3_C3,B3_C3,True,64000.0,1.9894367886486917,0.004,-7.509515403528005,5.832779928003649,9.508635195670651,7.509515403528004,5.832779928003649,9.50863519567065,0.16796590710426845,0.21531546453226383,402123.8596594935
A3_C4,A4_C4,False,,3.9788735772973833,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3_C4,B3_C4,True,64000.0,1.9894367886486917,0.004,-7.509515403527992,5.8327799280036565,9.508635195670644,7.509515403527992,5.8327799280036565,9.508635195670644,0.1679659071042687,0.2153154645322633,402123.8596594935
A4_C1,A4_C2,True,128000.0,1.2433979929054324,0.0025,-3.4825423453500984e-15,1.8178020683842255,1.8178020683842255,3.461229860991343e-15,1.8178020683842255,1.8178020683842255,0.022722525854802826,0.022722525854802805,804247.719318987
A4_C1,A4_C3,True,128000.0,1.2433979929054324,0.0025,-1.4880344005412545e-07,1.8178022245459193,1.8178022245459255,1.4880344005499377e-07,1.8178022245459193,1.8178022245459255,0.022722525854802826,0.02272252975884548,804247.719318987
A4_C1,A4_C4,True,128000.0,1.2433979929054324,0.0025,-1.488034467495967e-07,1.8178022245459171,1.8178022245459233,1.488034467523951e-07,1.8178022245459171,1.8178022245459233,0.022722525854802826,0.022722529758845422,804247.719318987
A4_C1,A4_C5,True,128000.0,1.2433979929054324,0.0025,-0.0016901114288197913,1.819456414669549,1.8194571996501627,0.001690111428819787,1.819456414669549,1.8194571996501627,0.022722525854802826,0.02276392297416984,804247.719318987
A4_C1,A4_C6,True,128000.0,1.2433979929054324,0.0025,-0.0016901114288245887,1.819456414669545,1.8194571996501587,0.0016901114288245761,1.819456414669545,1.8194571996501587,0.022722525854802826,0.022763922974169744,804247.719318987
A4_C1,A4_C7,True,128000.0,1.2433979929054324,0.0025,-0.0016901114288164262,1.819456414669549,1.8194571996501627,0.001690111428816419,1.819456414669549,1.8194571996501627,0.022722525854802826,0.022763922974169848,804247.719318987
A4_C1,A4_C8,True,128000.0,1.2433979929054324,0.0025,-0.001690111428821421,1.8194564146695449,1.8194571996501585,0.001690111428821422,1.8194564146695449,1.8194571996501585,0.022722525854802826,0.022763922974169733,804247.719318987
A4_C1,B4_C1,True,128000.0,13.926057520540843,0.028,-7.606989834372505,-24.400552652437998,25.558819692713623,7.606989834372505,-24.400552652437998,25.558819692713623,2.850313643226466,4.492054411796447,804247.719318987
A4_C1,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.3585175980154554,6.018790655150488,6.892422027611654,3.3585175980154554,6.018790655150488,6.892422027611654,0.3141161974167943,0.3266684134162371,804247.719318987
A4_C2,A4_C3,True,128000.0,1.2433979929054324,0.0025,-1.4880343659345318e-07,1.8178022245459187,1.8178022245459247,1.4880343659964904e-07,1.8178022245459187,1.8178022245459247,0.022722525854802805,0.02272252975884548,804247.719318987
A4_C2,A4_C4,True,128000.0,1.2433979929054324,0.0025,-1.4880344326116885e-07,1.8178022245459164,1.8178022245459224,1.488034432692948e-07,1.8178022245459164,1.8178022245459224,0.022722525854802805,0.022722529758845422,804247.719318987
A4_C2,A4_C5,True,128000.0,1.2433979929054324,0.0025,-0.001690111428816328,1.819456414669548,1.8194571996501616,0.0016901114288163303,1.819456414669548,1.8194571996501616,0.022722525854802805,0.02276392297416984,804247.719318987
A4_C2,A4_C6,True,128000.0,1.2433979929054324,0.0025,-0.0016901114288210976,1.819456414669544,1.8194571996501576,0.0016901114288210917,1.819456414669544,1.8194571996501576,0.022722525854802805,0.022763922974169744,804247.719318987
A4_C2,A4_C7,True,128000.0,1.2433979929054324,0.0025,-0.0016901114288129348,1.8194564146695484,1.819457199650162,0.0016901114288129346,1.8194564146695484,1.819457199650162,0.022722525854802805,0.022763922974169848,804247.719318987
A4_C2,A4_C8,True,128000.0,1.2433979929054324,0.0025,-0.0016901114288179577,1.8194564146695442,1.8194571996501578,0.0016901114288179375,1.8194564146695442,1.8194571996501578,0.022722525854802805,0.022763922974169733,804247.719318987
A4_C2,B4_C2,True,128000.0,13.926057520540843,0.028,-7.606989834372556,-24.400552652437998,25.558819692713637,7.606989834372556,-24.400552652437995,25.558819692713634,2.8503136432264635,4.492054411796456,804247.719318987
A4_C2,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.358517598015442,6.018790655150491,6.892422027611651,3.358517598015442,6.018790655150491,6.892422027611651,0.314116197416794,0.3266684134162371,804247.719318987
A4_C3,A4_C4,True,128000.0,1.2433979929054324,0.0025,-6.6622598047268076e-15,1.8178023807076358,1.8178023807076358,6.675102416468215e-15,1.8178023807076358,1.8178023807076358,0.02272252975884548,0.022722529758845422,804247.719318987
A4_C3,A4_C5,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351488074,1.8194565711117126,1.8194573559540488,0.0016899626351488106,1.8194565711117126,1.8194573559540488,0.02272252975884548,0.02276392297416984,804247.719318987
A4_C3,A4_C6,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351536048,1.8194565711117086,1.8194573559540448,0.0016899626351536,1.8194565711117086,1.8194573559540448,0.02272252975884548,0.022763922974169744,804247.719318987
A4_C3,A4_C7,True,128000.0,1.2433979929054324,0.0025,-0.001689962635145442,1.8194565711117128,1.819457355954049,0.0016899626351454427,1.8194565711117128,1.819457355954049,0.02272252975884548,0.022763922974169848,804247.719318987
A4_C3,A4_C8,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351504372,1.8194565711117083,1.8194573559540448,0.0016899626351504458,1.8194565711117083,1.8194573559540448,0.02272252975884548,0.022763922974169733,804247.719318987
A4_C3,B4_C3,True,128000.0,13.926057520540843,0.028,-7.6069899431268055,-24.40055680902891,25.558823693305595,7.6069899431268055,-24.40055680902891,25.558823693305595,2.8503141329495767,4.492055046236514,804247.719318987
A4_C3,U_A,True,128000.0,2.567629490508004,0.012000000000000002,-3.3585173938430835,6.018791447130834,6.892422619718107,3.3585173938430835,6.018791447130833,6.892422619718106,0.31411625138627997,0.3266684134162371,804247.719318987
A4_C4,A4_C5,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351421324,1.8194565711117103,1.8194573559540466,0.0016899626351421122,1.8194565711117103,1.8194573559540466,0.022722529758845422,0.02276392297416984,804247.719318987
A4_C4,A4_C6,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351469022,1.8194565711117063,1.8194573559540426,0.0016899626351469014,1.8194565711117063,1.8194573559540426,0.022722529758845422,0.022763922974169744,804247.719318987
A4_C4,A4_C7,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351387395,1.8194565711117103,1.8194573559540466,0.0016899626351387443,1.8194565711117103,1.8194573559540466,0.022722529758845422,0.022763922974169848,804247.719318987
A4_C4,A4_C8,True,128000.0,1.2433979929054324,0.0025,-0.0016899626351437624,1.8194565711117061,1.8194573559540423,0.0016899626351437472,1.8194565711117061,1.8194573559540423,0.022722529758845422,0.022763922974169733,804247.719318987
