from,to,k,M_uH,type
A1_C1,A2_C1,0.008,5.626976975981913,"same cable C1, adjacent stage"
A2_C1,A3_C1,0.008,3.9788735772973833,"same cable C1, adjacent stage"
A3_C1,A4_C1,0.008,3.9788735772973833,"same cable C1, adjacent stage"
A4_C1,B4_C1,0.008,3.9788735772973833,"same cable C1, adjacent stage"
B4_C1,B3_C1,0.008,3.9788735772973833,"same cable C1, adjacent stage"
B3_C1,B2_C1,0.008,3.9788735772973833,"same cable C1, adjacent stage"
B2_C1,B1_C1,0.008,5.626976975981913,"same cable C1, adjacent stage"
A1_C2,A2_C2,0.008,5.626976975981913,"same cable C2, adjacent stage"
A2_C2,A3_C2,0.008,3.9788735772973833,"same cable C2, adjacent stage"
A3_C2,A4_C2,0.008,3.9788735772973833,"same cable C2, adjacent stage"
A4_C2,B4_C2,0.008,3.9788735772973833,"same cable C2, adjacent stage"
B4_C2,B3_C2,0.008,3.9788735772973833,"same cable C2, adjacent stage"
B3_C2,B2_C2,0.008,3.9788735772973833,"same cable C2, adjacent stage"
B2_C2,B1_C2,0.008,5.626976975981913,"same cable C2, adjacent stage"
A3_C3,A4_C3,0.008,3.9788735772973833,"same cable C3, adjacent stage"
A4_C3,B4_C3,0.008,3.9788735772973833,"same cable C3, adjacent stage"
B4_C3,B3_C3,0.008,3.9788735772973833,"same cable C3, adjacent stage"
A3_C4,A4_C4,0.008,3.9788735772973833,"same cable C4, adjacent stage"
A4_C4,B4_C4,0.008,3.9788735772973833,"same cable C4, adjacent stage"
B4_C4,B3_C4,0.008,3.9788735772973833,"same cable C4, adjacent stage"
A4_C5,B4_C5,0.008,3.9788735772973833,"same cable C5, adjacent stage"
A4_C6,B4_C6,0.008,3.9788735772973833,"same cable C6, adjacent stage"
A4_C7,B4_C7,0.008,3.9788735772973833,"same cable C7, adjacent stage"
A4_C8,B4_C8,0.008,3.9788735772973833,"same cable C8, adjacent stage"
A1_C1,A1_C2,0.0025,2.486795985810865,co-located on A1
A2_C1,A2_C2,0.0025,1.2433979929054324,co-located on A2
A3_C1,A3_C2,0.0025,1.2433979929054324,co-located on A3
A3_C1,A3_C3,0.0025,1.2433979929054324,co-located on A3
A3_C1,A3_C4,0.0025,1.2433979929054324,co-located on A3
A3_C2,A3_C3,0.0025,1.2433979929054324,co-located on A3
A3_C2,A3_C4,0.0025,1.2433979929054324,co-located on A3
A3_C3,A3_C4,0.0025,1.2433979929054324,co-located on A3
A4_C1,A4_C2,0.0025,1.2433979929054324,co-located on A4
A4_C1,A4_C3,0.0025,1.2433979929054324,co-located on A4
A4_C1,A4_C4,0.0025,1.2433979929054324,co-located on A4
A4_C1,A4_C5,0.0025,1.2433979929054324,co-located on A4
A4_C1,A4_C6,0.0025,1.2433979929054324,co-located on A4
A4_C1,A4_C7,0.0025,1.2433979929054324,co-located on A4
A4_C1,A4_C8,0.0025,1.2433979929054324,co-located on A4
A4_C2,A4_C3,0.0025,1.2433979929054324,co-located on A4
A4_C2,A4_C4,0.0025,1.2433979929054324,co-located on A4
A4_C2,A4_C5,0.0025,1.2433979929054324,co-located on A4
A4_C2,A4_C6,0.0025,1.2433979929054324,co-located on A4
A4_C2,A4_C7,0.0025,1.2433979929054324,co-located on A4
A4_C2,A4_C8,0.0025,1.2433979929054324,co-located on A4
A4_C3,A4_C4,0.0025,1.2433979929054324,co-located on A4
A4_C3,A4_C5,0.0025,1.2433979929054324,co-located on A4
A4_C3,A4_C6,0.0025,1.2433979929054324,co-located on A4
A4_C3,A4_C7,0.0025,1.2433979929054324,co-located on A4
A4_C3,A4_C8,0.0025,1.2433979929054324,co-located on A4
A4_C4,A4_C5,0.0025,1.2433979929054324,co-located on A4
A4_C4,A4_C6,0.0025,1.2433979929054324,co-located on A4
A4_C4,A4_C7,0.0025,1.2433979929054324,co-located on A4
A4_C4,A4_C8,0.0025,1.2433979929054324,co-located on A4
A4_C5,A4_C6,0.0025,1.2433979929054324,co-located on A4
A4_C5,A4_C7,0.0025,1.2433979929054324,co-located on A4
A4_C5,A4_C8,0.0025,1.2433979929054324,co-located on A4
A4_C6,A4_C7,0.0025,1.2433979929054324,co-located on A4
A4_C6,A4_C8,0.0025,1.2433979929054324,co-located on A4
A4_C7,A4_C8,0.0025,1.2433979929054324,co-located on A4
B4_C1,B4_C2,0.0025,1.2433979929054324,co-located on B4
B4_C1,B4_C3,0.0025,1.2433979929054324,co-located on B4
B4_C1,B4_C4,0.0025,1.2433979929054324,co-located on B4
B4_C1,B4_C5,0.0025,1.2433979929054324,co-located on B4
B4_C1,B4_C6,0.0025,1.2433979929054324,co-located on B4
B4_C1,B4_C7,0.0025,1.2433979929054324,co-located on B4
B4_C1,B4_C8,0.0025,1.2433979929054324,co-located on B4
B4_C2,B4_C3,0.0025,1.2433979929054324,co-located on B4
B4_C2,B4_C4,0.0025,1.2433979929054324,co-located on B4
B4_C2,B4_C5,0.0025,1.2433979929054324,co-located on B4
B4_C2,B4_C6,0.0025,1.2433979929054324,co-located on B4
B4_C2,B4_C7,0.0025,1.2433979929054324,co-located on B4
B4_C2,B4_C8,0.0025,1.2433979929054324,co-located on B4
B4_C3,B4_C4,0.0025,1.2433979929054324,co-located on B4
B4_C3,B4_C5,0.0025,1.2433979929054324,co-located on B4
B4_C3,B4_C6,0.0025,1.2433979929054324,co-located on B4
B4_C3,B4_C7,0.0025,1.2433979929054324,co-located on B4
B4_C3,B4_C8,0.0025,1.2433979929054324,co-located on B4
B4_C4,B4_C5,0.0025,1.2433979929054324,co-located on B4
B4_C4,B4_C6,0.0025,1.2433979929054324,co-located on B4
B4_C4,B4_C7,0.0025,1.2433979929054324,co-located on B4
B4_C4,B4_C8,0.0025,1.2433979929054324,co-located on B4
B4_C5,B4_C6,0.0025,1.2433979929054324,co-located on B4
B4_C5,B4_C7,0.0025,1.2433979929054324,co-located on B4
B4_C5,B4_C8,0.0025,1.2433979929054324,co-located on B4
B4_C6,B4_C7,0.0025,1.2433979929054324,co-located on B4
B4_C6,B4_C8,0.0025,1.2433979929054324,co-located on B4
B4_C7,B4_C8,0.0025,1.2433979929054324,co-located on B4
B3_C1,B3_C2,0.0025,1.2433979929054324,co-located on B3
B3_C1,B3_C3,0.0025,1.2433979929054324,co-located on B3
B3_C1,B3_C4,0.0025,1.2433979929054324,co-located on B3
B3_C2,B3_C3,0.0025,1.2433979929054324,co-located on B3
B3_C2,B3_C4,0.0025,1.2433979929054324,co-located on B3
B3_C3,B3_C4,0.0025,1.2433979929054324,co-located on B3
B2_C1,B2_C2,0.0025,1.2433979929054324,co-located on B2
B1_C1,B1_C2,0.0025,2.486795985810865,co-located on B1
A1_C1,B1_C1,0.004,3.9788735772973833,mirror pair A1/B1
A1_C2,B1_C2,0.004,3.9788735772973833,mirror pair A1/B1
A2_C1,B2_C1,0.004,1.9894367886486917,mirror pair A2/B2
A2_C2,B2_C2,0.004,1.9894367886486917,mirror pair A2/B2
A3_C1,B3_C1,0.004,1.9894367886486917,mirror pair A3/B3
A3_C2,B3_C2,0.004,1.9894367886486917,mirror pair A3/B3
A3_C3,B3_C3,0.004,1.9894367886486917,mirror pair A3/B3
A3_C4,B3_C4,0.004,1.9894367886486917,mirror pair A3/B3
A4_C1,B4_C1,0.02,9.94718394324346,mirror pair A4/B4
A4_C2,B4_C2,0.02,9.94718394324346,mirror pair A4/B4
A4_C3,B4_C3,0.02,9.94718394324346,mirror pair A4/B4
A4_C4,B4_C4,0.02,9.94718394324346,mirror pair A4/B4
A4_C5,B4_C5,0.02,9.94718394324346,mirror pair A4/B4
A4_C6,B4_C6,0.02,9.94718394324346,mirror pair A4/B4
A4_C7,B4_C7,0.02,9.94718394324346,mirror pair A4/B4
A4_C8,B4_C8,0.02,9.94718394324346,mirror pair A4/B4
U_A,A4_C1,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C2,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C3,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C4,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C5,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C6,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C7,0.012,2.567629490508004,U_A to A4 branch
U_A,A4_C8,0.012,2.567629490508004,U_A to A4 branch
U_B,B4_C1,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C2,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C3,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C4,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C5,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C6,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C7,0.012,2.567629490508004,U_B to B4 branch
U_B,B4_C8,0.012,2.567629490508004,U_B to B4 branch
U_A,U_B,0.08,7.364140263374006,orthogonal U_A/U_B core
