mode,kind,stage,cable,frequency_Hz,I_rms_A,V_source_rms_V,V_capacitor_rms_V,V_inductor_rms_V,V_resistor_dynamic_rms_V,P_source_W,Q_source_VAR,S_source_VA,P_dynamic_damping_W,P_copper_W,Q_inductor_VAR,Q_capacitor_VAR,Q_lc_net_VAR,X_L_ohm,X_C_ohm,power_factor_source
A1_C1,branch,A1,C1,16000.0,7.057974803216119,35.3476681243945,706.1032451759817,705.7974803216118,35.289874016080596,249.37495243230742,-7.340022226822321,249.48295097442198,249.07504161416807,16.495975954383006,4981.500832283361,-4981.500832283361,0.0,99.99999999999999,100.0,0.9995671105312297
A1_C2,branch,A1,C2,16000.0,7.057974803216119,35.3476681243945,706.1032451759813,705.7974803216118,35.289874016080596,249.3749524323074,-7.34002222682277,249.48295097442195,249.07504161416807,16.495975954383006,4981.500832283361,-4981.500832283361,0.0,99.99999999999999,100.0,0.9995671105312297
A2_C1,branch,A2,C1,32000.0,6.479615927417133,35.357046793859354,647.9143708179805,647.9615927417133,32.398079637085665,229.03006703051798,5.663627768045139,229.10008355192394,209.927112834189,9.844595857984997,4198.542256683779,-4198.54225668378,-9.094947017729282e-13,99.99999999999999,100.0,0.999694384566254
A2_C2,branch,A2,C2,32000.0,6.479615927417134,35.357046793859354,647.9143708179805,647.9615927417133,32.39807963708567,229.03006703051804,5.663627768044162,229.10008355192397,209.92711283418902,9.844595857984999,4198.54225668378,-4198.542256683781,-9.094947017729282e-13,99.99999999999999,100.0,0.9996943845662541
A3_C1,branch,A3,C1,64000.0,3.2399151783839835,35.350556818368254,648.2255745777486,647.9830356767966,32.399151783839834,112.50485451878521,21.457429211120978,114.53280560015673,104.9705036312292,2.127162438740171,2099.410072624584,-2099.410072624584,0.0,199.99999999999997,200.0,0.9822937099048175
A3_C2,branch,A3,C2,64000.0,3.239915178383986,35.350556818368254,648.2255745777491,647.9830356767972,32.39915178383986,112.50485451878505,21.457429211122314,114.53280560015682,104.97050363122936,2.1271624387401746,2099.410072624587,-2099.410072624587,0.0,199.99999999999997,200.0,0.9822937099048153
A3_C3,branch,A3,C3,64000.0,3.2400415420202227,35.350556818368254,648.2529455028786,648.0083084040444,32.40041542020223,112.47549584146958,21.634455287867493,114.53727262505939,104.97869194016783,3.3753224965150874,2099.5738388033565,-2099.5738388033565,0.0,199.99999999999997,200.0,0.9819990756167288
A3_C4,branch,A3,C4,64000.0,3.2400415420202244,35.350556818368254,648.252945502879,648.0083084040448,32.40041542020224,112.47549584146955,21.634455287867937,114.53727262505944,104.97869194016793,3.375322496515091,2099.5738388033583,-2099.5738388033587,-4.547473508864641e-13,199.99999999999997,200.0,0.9819990756167282
A4_C1,branch,A4,C1,128000.0,1.3482589025792584,35.36225048952001,539.0742274558211,539.3035610317033,26.96517805158517,47.33458777390107,-5.707701299021602,47.67746903773309,36.356041367684526,0.36836636456612554,727.1208273536904,-727.1208273536905,-1.1368683772161603e-13,399.99999999999994,400.0,0.9928083165748447
A4_C2,branch,A4,C2,128000.0,1.3482589025792577,35.36225048952001,539.074227455821,539.303561031703,26.965178051585156,47.33458777390106,-5.707701299021512,47.677469037733076,36.35604136768449,0.3683663645661252,727.1208273536897,-727.1208273536897,0.0,399.99999999999994,400.0,0.9928083165748448
A4_C3,branch,A4,C3,128000.0,1.3482590184039707,35.36225048952001,539.0742754656636,539.3036073615882,26.965180368079412,47.33459230749419,-5.707697914590865,47.67747313355557,36.35604761415277,0.5844680626539122,727.1209522830553,-727.1209522830554,-1.1368683772161603e-13,399.99999999999994,400.0,0.9928083263745775
A4_C4,branch,A4,C4,128000.0,1.348259018403969,35.36225048952001,539.0742754656629,539.3036073615875,26.965180368079377,47.334592307494155,-5.707697914590684,47.677473133555516,36.35604761415267,0.5844680626539107,727.1209522830534,-727.1209522830535,-1.1368683772161603e-13,399.99999999999994,400.0,0.9928083263745779
A4_C5,branch,A4,C5,128000.0,1.3494865089853945,35.36225048952001,539.565169421395,539.7946035941577,26.98973017970789,47.38297282757579,-5.668886174668657,47.720879962969406,36.42227675867174,2.3388815467875754,728.4455351734348,-728.4455351734349,-1.1368683772161603e-13,399.99999999999994,400.0,0.9929190925302336
A4_C6,branch,A4,C6,128000.0,1.3494865089853916,35.36225048952001,539.5651694213938,539.7946035941566,26.98973017970783,47.382972827575706,-5.668886174668519,47.720879962969306,36.422276758671586,2.338881546787565,728.4455351734316,-728.4455351734317,-1.1368683772161603e-13,399.99999999999994,400.0,0.9929190925302339
A4_C7,branch,A4,C7,128000.0,1.3494865089853947,35.36225048952001,539.565169421395,539.7946035941578,26.989730179707895,47.38297282757579,-5.668886174668746,47.72087996296942,36.42227675867176,2.338881546787576,728.445535173435,-728.4455351734351,-1.1368683772161603e-13,399.99999999999994,400.0,0.9929190925302334
A4_C8,branch,A4,C8,128000.0,1.3494865089853914,35.36225048952001,539.5651694213938,539.7946035941565,26.989730179707827,47.38297282757569,-5.668886174668601,47.7208799629693,36.42227675867157,2.3388815467875643,728.4455351734314,-728.4455351734315,-1.1368683772161603e-13,399.99999999999994,400.0,0.9929190925302338
B4_C1,branch,B4,C1,128000.0,1.6925810526436076,35.362250489517194,676.7603729744638,677.0324210574429,33.851621052872154,59.83261514673633,1.5800800990175807,59.85347515739394,57.29661239536285,0.5805402352962074,1145.9322479072569,-1145.932247907257,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996514820467357
B4_C2,branch,B4,C2,128000.0,1.6925810526436091,35.362250489517194,676.7603729744643,677.0324210574436,33.85162105287218,59.83261514673639,1.5800800990175798,59.853475157393994,57.296612395362956,0.5805402352962084,1145.932247907259,-1145.9322479072591,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996514820467357
B4_C3,branch,B4,C3,128000.0,1.6925811721703428,35.362250489517194,676.7604169412722,677.032468868137,33.85162344340686,59.832619172592054,1.580087761436033,59.85347938412829,57.296620487710626,0.9211134589897605,1145.9324097542124,-1145.9324097542126,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996514787151745
B4_C4,branch,B4,C4,128000.0,1.6925811721703445,35.362250489517194,676.7604169412729,677.0324688681377,33.85162344340689,59.83261917259212,1.5800877614359574,59.85347938412835,57.296620487710754,0.9211134589897625,1145.9324097542149,-1145.932409754215,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996514787151746
B4_C5,branch,B4,C5,128000.0,1.693665412462726,35.362250489517194,677.1941493128772,677.4661649850902,33.87330824925452,59.86868010230336,1.664726077078668,59.89182056093836,57.370050587450706,3.6840572473358892,1147.401011749014,-1147.4010117490143,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996136290662352
B4_C6,branch,B4,C6,128000.0,1.693665412462727,35.362250489517194,677.1941493128776,677.4661649850907,33.87330824925454,59.86868010230341,1.6647260770784633,59.89182056093841,57.37005058745079,3.684057247335894,1147.4010117490157,-1147.4010117490159,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996136290662352
B4_C7,branch,B4,C7,128000.0,1.6936654124627248,35.362250489517194,677.1941493128767,677.4661649850898,33.8733082492545,59.86868010230332,1.6647260770786496,59.89182056093833,57.370050587450635,3.684057247335885,1147.4010117490127,-1147.4010117490127,0.0,399.99999999999994,400.0,0.9996136290662352
B4_C8,branch,B4,C8,128000.0,1.693665412462726,35.362250489517194,677.1941493128769,677.4661649850902,33.87330824925452,59.868680102303365,1.6647260770784582,59.89182056093837,57.370050587450706,3.6840572473358892,1147.401011749014,-1147.4010117490143,-2.2737367544323206e-13,399.99999999999994,400.0,0.9996136290662352
B3_C1,branch,B3,C1,64000.0,3.668130123133811,35.350556818365696,733.7115291342013,733.626024626762,36.68130123133811,127.06704357503256,25.85324065674317,129.67044233500056,134.55178600241666,2.7266088600969276,2691.0357200483327,-2691.035720048333,-4.547473508864641e-13,199.99999999999997,200.0,0.979922959210379
