gap_mm,frequency_Hz,frequency_kHz,turns_E1_reference,L_mH,X_L_ohm,C_resonance_nF,B_limit_T,Vrms_at_B_limit,Irms_magnetizing_at_B_limit
1.0,128000.0,128.0,8.0,0.1832382480672621,147.3689431001023,8.437313634398786,0.025,261.59694739876454,1.775115854777294
1.0,128000.0,128.0,8.0,0.1832382480672621,147.3689431001023,8.437313634398786,0.05,523.1938947975291,3.550231709554588
1.0,128000.0,128.0,8.0,0.1832382480672621,147.3689431001023,8.437313634398786,0.1,1046.3877895950582,7.100463419109176
2.0,128000.0,128.0,8.0,0.09205175329217508,74.03241264454586,16.795319083755896,0.025,261.59694739876454,3.533546159771642
2.0,128000.0,128.0,8.0,0.09205175329217508,74.03241264454586,16.795319083755896,0.05,523.1938947975291,7.067092319543284
2.0,128000.0,128.0,8.0,0.09205175329217508,74.03241264454586,16.795319083755896,0.1,1046.3877895950582,14.134184639086568
5.0,128000.0,128.0,8.0,0.03692531903876428,29.697103622052143,41.869335431827224,0.025,261.59694739876454,8.808837074754686
5.0,128000.0,128.0,8.0,0.03692531903876428,29.697103622052143,41.869335431827224,0.05,523.1938947975291,17.617674149509373
5.0,128000.0,128.0,8.0,0.03692531903876428,29.697103622052143,41.869335431827224,0.1,1046.3877895950582,35.235348299018746
10.0,128000.0,128.0,8.0,0.01848016192402213,14.862628080040382,83.65936267861275,0.025,261.59694739876454,17.600988599726424
10.0,128000.0,128.0,8.0,0.01848016192402213,14.862628080040382,83.65936267861275,0.05,523.1938947975291,35.20197719945285
10.0,128000.0,128.0,8.0,0.01848016192402213,14.862628080040382,83.65936267861275,0.1,1046.3877895950582,70.4039543989057
