stage,cable,frequency_Hz,frequency_kHz,stage_equivalent_impedance_ohm,active_branch_count,branch_target_impedance_ohm,branch_target_L_uH,branch_target_C_nF,segment_length_m,bobbin_family,mean_turn_length_m,turns_on_bobbin,estimated_air_core_L_uH,grover_loop_array_L_uH,wheeler_single_layer_L_uH,series_trim_L_uH_if_needed,physical_minus_target_L_uH,physical_to_target_L_percent,physical_air_core_to_branch_target_percent,required_turns_for_branch_target_air_core,required_length_for_branch_target_air_core_m,required_extra_length_for_branch_target_air_core_m,wire_historical_awg,wire_recommended_awg_equiv,wire_litz,estimated_litz_od_mm,copper_area_mm2,Rac_60C_ohm,equal_share_current_4kW_Arms,equal_share_current_10kW_Arms,current_density_10kW_A_per_mm2,note
A1,C1,16000.0,16.0,50.0,2,100.0,994.7183943243459,99.47183943243459,75.93733889898627,large,0.5904937551687375,128.59973240070366,994.7183943132993,994.7183943132993,1013.8993737826291,1.104650225458581e-08,-1.104650225458581e-08,99.99999999888948,99.99999999888948,128.5997324014177,75.9373388994079,4.2163605940004345e-10,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.3311446993540253,4.47213595499958,7.0710678118654755,1.3440143605356973,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A1,C2,16000.0,16.0,50.0,2,100.0,994.7183943243459,99.47183943243459,75.93733889898627,large,0.5904937551687375,128.59973240070366,994.7183943132993,994.7183943132993,1013.8993737826291,1.104650225458581e-08,-1.104650225458581e-08,99.99999999888948,99.99999999888948,128.5997324014177,75.9373388994079,4.2163605940004345e-10,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.3311446993540253,4.47213595499958,7.0710678118654755,1.3440143605356973,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A2,C1,32000.0,32.0,50.0,2,100.0,497.35919716217296,49.735919716217296,53.76961536562234,large,0.5904937551687375,91.05873668428097,497.3591971732263,497.3591971732263,508.3443097997962,0.0,1.1053332728272469e-08,100.00000000222241,100.00000000222241,91.05873668326913,53.769615365024855,0.0,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.23447652199553554,4.47213595499958,7.0710678118654755,1.3440143605356973,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A2,C2,32000.0,32.0,50.0,2,100.0,497.35919716217296,49.735919716217296,53.76961536562234,large,0.5904937551687375,91.05873668428097,497.3591971732263,497.3591971732263,508.3443097997962,0.0,1.1053332728272469e-08,100.00000000222241,100.00000000222241,91.05873668326913,53.769615365024855,0.0,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.23447652199553554,4.47213595499958,7.0710678118654755,1.3440143605356973,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A3,C1,64000.0,64.0,50.0,4,200.0,497.35919716217296,12.433979929054324,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.3591971581466,497.3591971581466,510.44044621554133,4.026293187742169e-09,-4.026293187742169e-09,99.99999999919046,99.99999999919046,100.40592885382685,46.46981473332265,1.8809487301041372e-10,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.2026438251847475,2.23606797749979,3.5355339059327378,0.6720071802678487,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A3,C2,64000.0,64.0,50.0,4,200.0,497.35919716217296,12.433979929054324,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.3591971581466,497.3591971581466,510.44044621554133,4.026293187742169e-09,-4.026293187742169e-09,99.99999999919046,99.99999999919046,100.40592885382685,46.46981473332265,1.8809487301041372e-10,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.2026438251847475,2.23606797749979,3.5355339059327378,0.6720071802678487,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A3,C3,64000.0,64.0,50.0,4,200.0,497.35919716217296,12.433979929054324,46.37004817021857,small,0.4628194297268483,100.19036624626095,497.3591971676506,497.3591971676506,508.2510583912628,0.0,5.477714636048514e-09,100.00000000110137,100.00000000110137,100.19036624570921,46.37004816996321,0.0,18,12,262 x AWG36,3.182768369637343,3.3087728761114765,0.3215245336109578,2.23606797749979,3.5355339059327378,1.0685332714911984,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A3,C4,64000.0,64.0,50.0,4,200.0,497.35919716217296,12.433979929054324,46.37004817021857,small,0.4628194297268483,100.19036624626095,497.3591971676506,497.3591971676506,508.2510583912628,0.0,5.477714636048514e-09,100.00000000110137,100.00000000110137,100.19036624570921,46.37004816996321,0.0,18,12,262 x AWG36,3.182768369637343,3.3087728761114765,0.3215245336109578,2.23606797749979,3.5355339059327378,1.0685332714911984,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A4,C1,128000.0,128.0,50.0,8,400.0,497.35919716217296,3.108494982263581,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.3591971581466,497.3591971581466,510.44044621554133,4.026293187742169e-09,-4.026293187742169e-09,99.99999999919046,99.99999999919046,100.40592885382685,46.46981473332265,1.8809487301041372e-10,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.2026438251847475,1.118033988749895,1.7677669529663689,0.33600359013392433,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
A4,C2,128000.0,128.0,50.0,8,400.0,497.35919716217296,3.108494982263581,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.3591971581466,497.3591971581466,510.44044621554133,4.026293187742169e-09,-4.026293187742169e-09,99.99999999919046,99.99999999919046,100.40592885382685,46.46981473332265,1.8809487301041372e-10,14,10,416 x AWG36,4.01339681292756,5.261154954510373,0.2026438251847475,1.118033988749895,1.7677669529663689,0.33600359013392433,Physical wound length is solved so the Grover air-core inductance matches the branch L target; C is then selected for the octave resonance and branch impedance.
