cable,stage,segment_length_m,bobbin_family,mean_turn_length_m,turns_on_bobbin,solved_physical_L_uH,frequency_Hz,frequency_kHz,stage_active_cables,wire
C1,A1,75.93733889898627,large,0.5904937551687375,128.59973240070366,994.7183943132993,16000.0,16.0,C1 C2,"AWG10-equiv Litz, 416 x AWG36"
C1,A2,53.76961536562234,large,0.5904937551687375,91.05873668428097,497.3591971732263,32000.0,32.0,C1 C2,"AWG10-equiv Litz, 416 x AWG36"
C1,A3,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.35919715814674,64000.0,64.0,C1 C2 C3 C4,"AWG10-equiv Litz, 416 x AWG36"
C1,A4,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.35919715814674,128000.0,128.0,C1 C2 C3 C4 C5 C6 C7 C8,"AWG10-equiv Litz, 416 x AWG36"
C1,B4,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.35919715814674,128000.0,128.0,C1 C2 C3 C4 C5 C6 C7 C8,"AWG10-equiv Litz, 416 x AWG36"
C1,B3,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.35919715814674,64000.0,64.0,C1 C2 C3 C4,"AWG10-equiv Litz, 416 x AWG36"
C1,B2,53.76961536562234,large,0.5904937551687375,91.05873668428097,497.3591971732263,32000.0,32.0,C1 C2,"AWG10-equiv Litz, 416 x AWG36"
C1,B1,75.93733889898627,large,0.5904937551687375,128.59973240070366,994.7183943132993,16000.0,16.0,C1 C2,"AWG10-equiv Litz, 416 x AWG36"
C2,A1,75.93733889898627,large,0.5904937551687375,128.59973240070366,994.7183943132993,16000.0,16.0,C1 C2,"AWG10-equiv Litz, 416 x AWG36"
C2,A2,53.76961536562234,large,0.5904937551687375,91.05873668428097,497.3591971732263,32000.0,32.0,C1 C2,"AWG10-equiv Litz, 416 x AWG36"
C2,A3,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.35919715814674,64000.0,64.0,C1 C2 C3 C4,"AWG10-equiv Litz, 416 x AWG36"
C2,A4,46.469814733134555,small,0.4628194297268483,100.40592885342045,497.35919715814674,128000.0,128.0,C1 C2 C3 C4 C5 C6 C7 C8,"AWG10-equiv Litz, 416 x AWG36"
